iter	Logloss
0	0.6894038759
1	0.6859553539
2	0.6827477589
3	0.6795979195
4	0.6766298898
5	0.6738696285
6	0.6712478649
7	0.6687575482
8	0.6665268549
9	0.6643903712
10	0.6623064389
11	0.6603479038
12	0.6585251991
13	0.6568190003
14	0.6552655563
15	0.6537340294
16	0.6523529132
17	0.6510048065
18	0.6497542606
19	0.6485682785
20	0.6473959193
21	0.6463365905
22	0.6453450959
23	0.6443840678
24	0.6434425133
25	0.6425904989
26	0.6417353197
27	0.6409926112
28	0.6402569162
29	0.6395932214
30	0.6389770666
31	0.638360315
32	0.6377584607
33	0.6371261214
34	0.6365822341
35	0.6360811366
36	0.635594607
37	0.6351051986
38	0.6346519768
39	0.6342374411
40	0.6338209407
41	0.6334514393
42	0.6330860353
43	0.6327376864
44	0.6323950887
45	0.6320672516
46	0.6317358208
47	0.6314308087
48	0.6311494733
49	0.630899164
50	0.6306265022
51	0.6303678612
52	0.6301297383
53	0.6298714579
54	0.6296548108
55	0.6293969283
56	0.6291823765
57	0.6289469459
58	0.6287728647
59	0.6285839482
60	0.6283975747
61	0.6282145215
62	0.6280248899
63	0.6278597372
64	0.6276936892
65	0.6274945198
66	0.6273420697
67	0.627195974
68	0.6270566431
69	0.626933733
70	0.6268019316
71	0.6266074752
72	0.6264832718
73	0.6263733379
74	0.6262421459
75	0.6261133477
76	0.625942711
77	0.6257917842
78	0.6256679414
79	0.6255807454
80	0.6254806851
81	0.6253798662
82	0.6252274907
83	0.6251273744
84	0.62503554
85	0.6248786381
86	0.6247779
87	0.6246812842
88	0.624598397
89	0.6244704381
90	0.6243821664
91	0.6242860481
92	0.6242008292
93	0.6241267835
94	0.6240022816
95	0.6239003187
96	0.6237578914
97	0.6236780259
98	0.6236211595
99	0.6235196878
100	0.6234483218
101	0.6233700667
102	0.6232969598
103	0.6232305182
104	0.6231764248
105	0.6230534027
106	0.6229226833
107	0.6228603453
108	0.6227976032
109	0.6226987988
110	0.6226366909
111	0.622568328
112	0.6225088937
113	0.6224151878
114	0.6223486032
115	0.6222852331
116	0.6222379542
117	0.6221789116
118	0.6221126565
119	0.6220655144
120	0.6220093381
121	0.6219496986
122	0.621880627
123	0.621830059
124	0.6217593023
125	0.6217188753
126	0.6216735239
127	0.6216233787
128	0.6215885973
129	0.62155205
130	0.6214894571
131	0.6214445907
132	0.6213655211
133	0.6213091147
134	0.6212734069
135	0.621231612
136	0.6211722274
137	0.6211354501
138	0.6210801567
139	0.6210249131
140	0.6209715844
141	0.6209136548
